epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,10277.1,0.46455,0.3118,0.86348,0.95451,0.69187,0.75225,0.67157,0.37302,0.29104,0.68548,0.00164,0.00164,0.00164
172,10336.4,0.43585,0.29727,0.8622,0.9278,0.70213,0.75329,0.67075,0.36763,0.29722,0.68154,0.001632,0.001632,0.001632
173,10395.5,0.43384,0.30406,0.86031,0.93044,0.71178,0.76601,0.67886,0.36742,0.28555,0.68003,0.001624,0.001624,0.001624
174,10454.6,0.44192,0.30424,0.86028,0.91051,0.71522,0.7575,0.66581,0.3907,0.37786,0.71601,0.001616,0.001616,0.001616
175,10514.1,0.44414,0.3131,0.86474,0.92431,0.69254,0.7575,0.67308,0.36417,0.37929,0.69397,0.001608,0.001608,0.001608
176,10573.3,0.46364,0.31597,0.86285,0.94155,0.70333,0.7582,0.67338,0.35559,0.27112,0.66319,0.0016,0.0016,0.0016
177,10632.4,0.42823,0.2978,0.86521,0.92035,0.71044,0.75835,0.67089,0.36889,0.29552,0.68783,0.001592,0.001592,0.001592
178,10691.6,0.4419,0.30049,0.86478,0.92709,0.70425,0.75509,0.67428,0.34703,0.26108,0.66274,0.001584,0.001584,0.001584
179,10752.1,0.44605,0.3049,0.86471,0.92631,0.70837,0.75934,0.67586,0.35156,0.25462,0.65995,0.001576,0.001576,0.001576
180,10815.8,0.42526,0.30013,0.85795,0.92156,0.70189,0.74993,0.67138,0.36068,0.26372,0.66965,0.001568,0.001568,0.001568
181,10875.7,0.43229,0.29956,0.86303,0.93589,0.69485,0.75402,0.67502,0.35847,0.25563,0.66304,0.00156,0.00156,0.00156
182,10935.2,0.43699,0.30132,0.86544,0.91014,0.70432,0.75756,0.67243,0.3584,0.2798,0.66454,0.001552,0.001552,0.001552
183,10994.3,0.42413,0.29433,0.86288,0.90592,0.71669,0.75928,0.67159,0.36292,0.30683,0.67285,0.001544,0.001544,0.001544
184,11053.6,0.44078,0.30456,0.863,0.93855,0.69591,0.75444,0.6746,0.35338,0.28475,0.65178,0.001536,0.001536,0.001536
185,11112.8,0.45409,0.30721,0.85782,0.90409,0.7224,0.76253,0.67787,0.35712,0.26536,0.66525,0.001528,0.001528,0.001528
186,11172,0.4187,0.29595,0.85885,0.91423,0.71071,0.76116,0.67574,0.34996,0.26615,0.65868,0.00152,0.00152,0.00152
